Kalendertext|Datum|Tag|Text für den Chat|Passage 1|Passage 2|Passage 3|Passage 4|Passage 5|Passage 6|Passage 7|Passage 8|Passage 9
5Mo 14 – 15; Da 7|26.11.18|330||5. Mose 14|5. Mose 15|Daniel 7||||||
5Mo 16 – 17; Da 8|27.11.18|331||5. Mose 16|5. Mose 17|Daniel 8||||||
5Mo 18 – 19; Da 9 - 10|28.11.18|332||5. Mose 18|5. Mose 19|Daniel 9|Daniel 10|||||
5Mo 20 – 21; Da 11|29.11.18|333||5. Mose 20|5. Mose 21|Daniel 11||||||
5Mo 22 – 23; Da 12|30.11.18|334||5. Mose 22|5. Mose 23|Daniel 12||||||
5Mo 24 – 25; Lk 1|01.12.18|335||5. Mose 24|5. Mose 25|Lukas 1||||||
Ps 74|02.12.18|336||Psalm 74||||||||
5Mo 26 – 27; Lk 2|03.12.18|337||5. Mose 26|5. Mose 27|Lukas 2||||||
5Mo 28; Lk 3 – 4|04.12.18|338||5. Mose 28|Lukas 3|Lukas 4||||||
5Mo 29; Lk 5 - 6|05.12.18|339||5. Mose 29|Lukas 5|Lukas 6||||||
5Mo 30; Lk 7 - 8|06.12.18|340||5. Mose 30|Lukas 7|Lukas 8||||||
5Mo 31; Lk 9 – 10|07.12.18|341||5. Mose 31|Lukas 9|Lukas 10||||||
5Mo 32; Lk 11 - 12|08.12.18|342||5. Mose 32|Lukas 11|Lukas 12||||||
Ps 75|09.12.18|343||Psalm 75||||||||
5Mo 33; Lk 13 – 14|10.12.18|344||5. Mose 33|Lukas 13|Lukas 14||||||
5Mo 34; Lk 15 -16|11.12.18|345||5. Mose 34|Lukas 15|Lukas 16||||||
Lk 17 - 19|12.12.18|346||Lukas 17|Lukas 18|Lukas 19||||||
Jona 1; Lk 20 – 21|13.12.18|347||Jona 1|Lukas 20|Lukas 21||||||
Jona 2; Lk 22 – 23|14.12.18|348||Jona 2|Lukas 22|Lukas 23||||||
Jona 3 – 4; Lk 24|15.12.18|349||Jona 3|Jona 4|Lukas 24||||||
Ps 76 – 77|16.12.18|350||Psalm 76|Psalm 77|||||||
Frei|17.12.18|351||||||||||
Frei|18.12.18|352||||||||||
Frei|19.12.18|353||||||||||
Frei|20.12.18|354||||||||||
Frei|21.12.18|355||||||||||
Frei|22.12.18|356||||||||||
Ps 78|23.12.18|357||Psalm 78||||||||
Frei|24.12.18|358||||||||||
1. Weihnachtstag; Frei|25.12.18|359||||||||||
2. Weihnachtstag; Frei|26.12.18|360||||||||||
Frei|27.12.18|361||||||||||
Frei|28.12.18|362||||||||||
Frei|29.12.18|363||||||||||
